Name of Restaurant, City, Country Code, Day of Week, Start Time, End Time
1 Abercrombie Lane,Sydney,AU,0,07:30am,07:30am
1 Abercrombie Lane,Sydney,AU,1,07:30am,07:30am
1 Abercrombie Lane,Sydney,AU,2,07:30am,07:30am
1 Abercrombie Lane,Sydney,AU,3,07:30am,07:30am
1 Abercrombie Lane,Sydney,AU,4,07:30am,07:30am
#1 Chicken Rice & Seafood,Houston,US,0,10:30am,10:30am
#1 Chicken Rice & Seafood,Houston,US,1,10:30am,10:30am
#1 Chicken Rice & Seafood,Houston,US,2,10:30am,10:30am
#1 Chicken Rice & Seafood,Houston,US,3,10:30am,10:30am
#1 Chicken Rice & Seafood,Houston,US,4,10:30am,10:30am
#1 Chicken Rice & Seafood,Houston,US,5,10:30am,10:30am
#1 Chinese Kitchen,San Jose,US,0,11:00am,11:00am
#1 Chinese Kitchen,San Jose,US,2,11:00am,11:00am
#1 Chinese Kitchen,San Jose,US,3,11:00am,11:00am
#1 Chinese Kitchen,San Jose,US,4,11:00am,11:00am
#1 Chinese Kitchen,San Jose,US,5,11:00am,11:00am
#1 Chinese Kitchen,San Jose,US,6,11:00am,11:00am
10' Custom Pizzeria,Braddon,AU,0,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,0,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,1,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,1,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,2,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,2,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,3,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,3,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,4,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,4,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,5,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,5,5:30pm,5:30pm
10' Custom Pizzeria,Braddon,AU,6,11:30am,11:30am
10' Custom Pizzeria,Braddon,AU,6,5:30pm,5:30pm
