Rank(w), Word, Freq(w), r*P(w), log(r), log(Freq(w)) 
1,the,13604,0.07915284808285332,0.0,4.133666623260685,
2,of,6475,0.07534764647698843,0.3010299956639812,3.8112397727532894,
3,and,5881,0.10265316809216268,0.47712125471966244,3.7694511794020378,
4,a,4472,0.1040786641065922,0.6020599913279624,3.650501794878367,
5,to,4439,0.12913830220515507,0.6989700043360189,3.6472851450253665,
6,in,3824,0.13349624716355385,0.7781512503836436,3.5825178836040625,
7,that,2680,0.10915226624774539,0.8450980400142568,3.428134794028789,
8,his,2415,0.1124105428521557,0.9030899869919435,3.382917135087531,
9,I,1724,0.0902775353464828,0.9542425094393249,3.236537261488694,
10,with,1645,0.09571187525455285,1.0,3.216165902285993,
11,as,1590,0.10176296037702914,1.0413926851582251,3.2013971243204513,
12,was,1564,0.10919881305637982,1.0791812460476249,3.1942367487238292,
13,is,1560,0.11799615988828766,1.1139433523068367,3.1931245983544616,
14,it,1506,0.12267411415604818,1.146128035678238,3.177824971864682,
15,he,1492,0.1302146971548263,1.1760912590556813,3.17376882313665,
16,for,1357,0.12632803863385117,1.2041199826559248,3.132579847659737,
17,all,1293,0.127893175074184,1.2304489213782739,3.111598524880394,
18,at,1211,0.12682841682667131,1.255272505103306,3.0831441431430524,
19,this,1131,0.12503054634316635,1.2787536009528289,3.053462604925455,
20,by,1093,0.12718915459358818,1.3010299956639813,3.038620161949703,
21,from,1049,0.12817245592599058,1.3222192947339193,3.020775488193558,
22,but,1030,0.1318438354570315,1.3424226808222062,3.012837224705172,
23,not,1023,0.13689998254494676,1.3617278360175928,3.00987563371216,
24,be,973,0.13587013440390994,1.380211241711606,2.988112840268352,
25,on,905,0.13164019316925582,1.3979400086720377,2.9566485792052033,
26,so,784,0.1186012684005353,1.414973347970818,2.8943160626844384,
27,had,751,0.11797870483504974,1.4313637641589874,2.8756399370041685,
28,one,750,0.12218537266538664,1.4471580313422192,2.8750612633917,
29,have,748,0.1262116716122651,1.462397997898956,2.8739015978644615,
30,you,734,0.12812009076627684,1.4771212547196624,2.8656960599160706,
31,or,686,0.12373305405248153,1.4913616938342726,2.8363241157067516,
32,were,645,0.12009076627683714,1.505149978319906,2.8095597146352675,
33,But,638,0.12249956362366905,1.5185139398778875,2.8048206787211623,
34,their,611,0.1208704253214639,1.5314789170422551,2.786041210242554,
35,an,575,0.11709431547099552,1.5440680443502757,2.7596678446896306,
36,some,569,0.1191831035084657,1.5563025007672873,2.7551122663950713,
37,they,568,0.1222784662826555,1.568201724066995,2.754348335711019,
38,are,565,0.12491999767265957,1.5797835966168101,2.7520484478194387,
39,my,560,0.1270727875720021,1.591064607026499,2.7481880270062002,
40,him,554,0.1289346599173794,1.6020599913279623,2.74350976472843,
41,which,550,0.13120381683830803,1.6127838567197355,2.7403626894942437,
42,like,544,0.13293768545994064,1.6232492903979006,2.73559889969818,
43,The,531,0.1328504101937511,1.6334684555795864,2.725094521081469,
44,upon,531,0.1359399546168616,1.6434526764861874,2.725094521081469,
45,into,516,0.1351021120614418,1.6532125137753437,2.7126497016272113,
46,when,501,0.13408971897364286,1.662757831681574,2.699837725867246,
47,now,457,0.1249723628323733,1.6720978579357175,2.6599162000698504,
48,no,439,0.12260429394309652,1.6812412373755872,2.6424645202421213,
49,out,436,0.12430325245825333,1.6901960800285136,2.639486489268586,
50,more,427,0.12422179554314307,1.6989700043360187,2.630427875025024,
51,there,414,0.1228486646884273,1.7075701760979363,2.617000341120899,
52,up,413,0.1249549077791354,1.7160033436347992,2.615950051656401,
53,old,412,0.12704951416768487,1.724275869600789,2.6148972160331345,
54,would,406,0.12756152906266363,1.7323937598229686,2.6085260335771943,
55,been,401,0.12832373305405248,1.7403626894942439,2.603144372620182,
56,if,396,0.1290277535346483,1.7481880270062005,2.597695185925512,
57,whale,392,0.13000523651597137,1.7558748556724915,2.593286067020457,
58,we,386,0.13026124396346075,1.7634279935629373,2.586587304671755,
59,what,380,0.13044743119799848,1.7708520116421442,2.57978359661681,
60,its,369,0.12881829289579333,1.7781512503836436,2.56702636615906,
61,over,359,0.12741607028568103,1.7853298350107671,2.5550944485783194,
62,these,358,0.12914412055623437,1.792391689498254,2.5538830266438746,
63,only,345,0.12646186070867516,1.7993405494535817,2.537819095073274,
64,other,342,0.1273520684238087,1.806179973983887,2.534026106056135,
65,will,341,0.12896375167277593,1.8129133566428555,2.5327543789924976,
66,me,339,0.1301797870483505,1.8195439355418688,2.530199698203082,
67,then,336,0.13098271949729445,1.8260748027008264,2.526339277389844,
68,such,325,0.12858555885262116,1.8325089127062364,2.5118833609788744,
69,And,321,0.12887065805550707,1.8388490907372552,2.506505032404872,
70,than,307,0.12503636469424564,1.845098040014257,2.4871383754771865,
71,very,307,0.12682259847559202,1.8512583487190752,2.4871383754771865,
72,any,307,0.1286088322569384,1.8573324964312685,2.4871383754771865,
73,down,298,0.12657240937918193,1.863322860120456,2.4742162640762553,
74,those,294,0.12658404608134055,1.8692317197309762,2.4683473304121573,
75,great,282,0.12305812532728225,1.8750612633917,2.450249108319361,
76,has,280,0.12381451096759179,1.8808135922807914,2.4471580313422194,
77,still,275,0.12320358410426485,1.8864907251724818,2.439332693830263,
78,most,274,0.12434979926688776,1.8920946026904804,2.437750562820388,
79,her,274,0.1259440274626171,1.8976270912904414,2.437750562820388,
80,seemed,273,0.1270727875720021,1.9030899869919435,2.436162647040756,
81,them,273,0.12866119741665213,1.9084850188786497,2.436162647040756,
82,about,272,0.1297725024727992,1.9138138523837167,2.4345689040341987,
83,though,272,0.13135509396636993,1.919078092376074,2.4345689040341987,
84,must,269,0.131471460987956,1.9242792860618816,2.429752280002408,
85,ye,260,0.12858555885262116,1.9294189257142926,2.4149733479708178,
86,It,258,0.12909757374759992,1.9344984512435677,2.41161970596323,
87,two,256,0.12958631523826147,1.9395192526186185,2.4082399653118496,
88,who,253,0.12953976842962706,1.9444826721501687,2.403120521175818,
89,before,251,0.12997614476057484,1.9493900066449128,2.399673721481038,
